;cml;phi_io;phi_gan;phi_eu;time;freq;intensity;drift_rate;sigma;chi;snr
6776;45.29623856395483;244.009943052195;41.61170462809969;167.84737603948452;11425.291001280304;12.486267;0.21301658;-11.834587;14.895918;0.0006326928;7.5314827
6777;45.373887753114104;244.0279507371597;41.616195665090345;167.85636416985653;11425.291090488434;12.486267;0.33419618;-12.452024;15.833003;0.00061405415;12.913222
6778;45.50698125176132;244.0588165554218;41.6238934637513;167.87177014816552;11425.291243394371;12.486267;0.5274662;-11.257965;10.859867;0.000990706;13.6205
6779;45.54027175158262;244.06653698114678;41.62581890379079;167.87562362500466;11425.29128164053;12.486267;0.17823507;-12.777655;14.972352;0.0009207891;6.100254
6780;45.55135736986995;244.06910785567015;41.62646006862633;167.87690681917593;11425.291294376366;12.486267;0.185292;-26.617071;32.461414;0.00030774687;14.548668
6781;45.573545226827264;244.07425345946103;41.627743359305896;167.87947513139807;11425.29131986713;12.486267;0.33033684;-11.834587;17.122028;0.0009460773;10.175539
6782;45.58463044092059;244.07682423992082;41.62838450074196;167.88075827877037;11425.291332602501;12.486267;0.15506306;-12.452024;14.995789;0.0004922732;6.992012
6783;45.59573308378458;244.07939906278625;41.62902665010188;167.88204344338737;11425.291345357895;12.486267;0.3974825;-12.137892;13.431114;0.0011213623;10.489949
6784;45.61790391616523;244.0845407177694;41.63030895625707;167.88460978493094;11425.291370829102;12.486267;0.1608084;-12.777655;15.614304;0.0005927282;6.611893
6785;45.62900655902922;244.08711554063484;41.63095110561699;167.88589494978078;11425.291383584496;12.486267;0.16407946;-11.834587;18.421932;0.00042346513;6.6218886
6786;45.64009177312255;244.08968632109463;41.631592246936634;167.88717809692025;11425.291396319866;12.486267;0.85187167;-13.115525;15.416222;0.0033296489;12.202547
6787;45.651177391409874;244.09225719608366;41.63223341177218;167.88846129132435;11425.291409055702;12.486267;0.7935237;-11.257965;17.288206;0.001994153;16.545336
6788;45.66228003427386;244.09483201848343;41.632875561132096;167.88974645594135;11425.291421811096;12.486267;1.1744263;-11.257965;14.820176;0.0043880884;14.835994
